11 0 0
22 0 0
11 0 0
0 0 0
15 0 0
28 1 0
18 0 0
27 0 0
16 0 0
22 1 0
17 1 0
22 0 0
19 0 0
25 0 0
22 0 0
17 0 0
22 0 0
16 0 0
11 0 0
11 0 0
22 0 0
15 0 0
18 1 0
11 0 0
19 0 0
10 0 0
17 0 0
26 0 0
16 0 0
11 0 0
13 0 0
20 0 0
12 0 0
27 13 0
10 46 0
9 39 0
19 122 24
22 132 86
22 134 0
22 132 46
22 133 0
18 105 0
23 147 92
14 67 0
22 133 46
7 137 0
8.33333 218 0
6.75 198 25
4.6 204 0
3.5 214 0
1.57143 243 0
2.75 232 3
1.44444 275 0
2 285 0
1.63636 299 38
0.75 368 0
2.15385 273 165
1.21429 360 328
1.06667 334 0
1.3125 330 0
0.411765 413 0
0.888889 325 0
0.578947 387 37
0.7 378 1
0.952381 315 0
0.454545 480 0
0.956522 280 142
0.708333 312 0
0.2 536 0
0.846154 346 244
0.814815 344 304
0.392857 509 0
0.37931 501 3
0 586 0
0.903226 215 0
0.15625 612 0
0.636364 400 33
0.382353 536 0
0.657143 422 0
0.555556 420 0
0.594595 444 338
0.578947 351 87
0.282051 676 0
0.425 546 124
0.512195 471 370
0.404762 597 123
0.395349 560 364
0.363636 459 311
0.244444 640 121
0 908 0
0.297872 541 397
0.395833 611 0
0.428571 469 167
