21 4 4
26 5 0
8 3 0
11 3 0
11 5 5
7.33333 5 5
5.5 6 6
2.2 11 0
1.83333 16 0
3 7 7
1.375 19 0
1.33333 16 0
2.2 16 16
0.454545 16 0
1.41667 12 0
0.846154 8 8
0.142857 34 0
1.33333 13 0
0.6875 18 0
0.647059 30 8
0.5 21 0
0.684211 9 0
1.1 12 0
0.52381 24 24
0.636364 29 10
0.869565 26 0
0.875 19 0
0.44 25 0
0.423077 21 0
0.407407 28 0
0.821429 11 8
0.896552 16 0
0.2 28 0
0.354839 28 14
0.34375 14 14
0.424242 9 2
0.235294 25 0
0.657143 12 2
0.583333 23 0
0 18 0
0.289474 33 0
0.641026 9 0
0.575 24 0
0.682927 18 0
0.547619 17 16
0.511628 18 5
0.386364 19 0
0.6 8 6
0.456522 9 0
0.0212766 16 0
0.4375 7 0
0.469388 17 7
