12 3 1
23 6 0
30 9 0
12 3 2
11 3 1
7 3 0
5.66667 5 0
1.5 0 0
3.6 8 0
1.83333 7 6
1.57143 7 0
2.125 9 6
2.44444 6 1
0.5 18 0
2 6 0
0.916667 13 1
1.76923 8 0
1.14286 10 0
0.333333 18 0
0.625 12 0
0.705882 21 1
1.22222 14 0
0.578947 16 0
1.5 14 0
0.666667 12 2
0.5 27 0
0.956522 16 3
0.458333 20 9
0.96 15 11
0.769231 11 0
0.481481 23 20
0.892857 18 0
0.862069 16 11
0.833333 14 12
0.580645 19 9
0.46875 25 0
0.575758 21 19
0.676471 12 10
0.542857 19 7
0.472222 20 1
0.567568 20 0
0.578947 12 8
0.692308 12 0
0.425 16 4
0.414634 19 18
0.380952 17 9
0.55814 17 13
0.204545 26 0
0.244444 20 0
0.434783 21 3
0.276596 21 0
0.5 20 16
0.408163 14 0
